1st choice,2nd choice,3rd choice,weight
Mohamed Issa Barre,Chris Meyer,Chris Meyer,2
Mohamed Issa Barre,Chris Meyer,Mohamed Issa Barre,5
Mohamed Issa Barre,Chris Meyer,Uwi,4
Mohamed Issa Barre,Mohamed Issa Barre,Billy Menz,1
Mohamed Issa Barre,Mohamed Issa Barre,Chris Meyer,4
Mohamed Issa Barre,Mohamed Issa Barre,Mohamed Issa Barre,79
Mohamed Issa Barre,Uwi,Billy Menz,1
Mohamed Issa Barre,Uwi,Chris Meyer,1
Mohamed Issa Barre,Uwi,Uwi,8
Mohamud Noor,Abdi Warsame,Abdi Warsame,7
Mohamud Noor,Abdi Warsame,Fadumo Yusuf,316
Mohamud Noor,Abdi Warsame,Mohamud Noor,19
Mohamud Noor,Abdi Warsame,Tiffini Forslund,3
Mohamud Noor,Abdi Warsame,Uwi,50
Mohamud Noor,Fadumo Yusuf,Abdi Warsame,98
Mohamud Noor,Fadumo Yusuf,Mohamud Noor,2
Mohamud Noor,Fadumo Yusuf,Uwi,11
Mohamud Noor,Mohamud Noor,Abdi Warsame,7
Mohamud Noor,Mohamud Noor,Fadumo Yusuf,2
Mohamud Noor,Mohamud Noor,Mohamud Noor,370
Mohamud Noor,Tiffini Forslund,Uwi,1
Mohamud Noor,Uwi,Abdi Warsame,3
Mohamud Noor,Uwi,Uwi,10
Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson",6
Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Dana Hansen,37
Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,6
Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,312
Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",Uwi,1
Phillipe M. Cunningham,Dana Hansen,"Barbara A. ""Barb"" Johnson",25
Phillipe M. Cunningham,Dana Hansen,Dana Hansen,1
Phillipe M. Cunningham,Dana Hansen,Phillipe M. Cunningham,3
Phillipe M. Cunningham,Dana Hansen,Stephanie Gasca,64
Phillipe M. Cunningham,Dana Hansen,Uwi,3
Phillipe M. Cunningham,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",4
Phillipe M. Cunningham,Phillipe M. Cunningham,Dana Hansen,1
Phillipe M. Cunningham,Phillipe M. Cunningham,Phillipe M. Cunningham,67
Phillipe M. Cunningham,Phillipe M. Cunningham,Stephanie Gasca,4
Phillipe M. Cunningham,Phillipe M. Cunningham,Uwi,1
Phillipe M. Cunningham,Stephanie Gasca,"Barbara A. ""Barb"" Johnson",383
Phillipe M. Cunningham,Stephanie Gasca,Dana Hansen,293
Phillipe M. Cunningham,Stephanie Gasca,Phillipe M. Cunningham,9
Phillipe M. Cunningham,Stephanie Gasca,Stephanie Gasca,5
Phillipe M. Cunningham,Stephanie Gasca,Uwi,28
Phillipe M. Cunningham,Uwi,"Barbara A. ""Barb"" Johnson",1
Phillipe M. Cunningham,Uwi,Stephanie Gasca,4
Phillipe M. Cunningham,Uwi,Uwi,3
Raeisha (Ra) Williams,Blong Yang,Blong Yang,2
Raeisha (Ra) Williams,Blong Yang,Cathy Spann,17
Raeisha (Ra) Williams,Blong Yang,Jeremiah Ellison,58
Raeisha (Ra) Williams,Blong Yang,Raeisha (Ra) Williams,1
Raeisha (Ra) Williams,Cathy Spann,Blong Yang,14
Raeisha (Ra) Williams,Cathy Spann,Cathy Spann,3
Raeisha (Ra) Williams,Cathy Spann,Jeremiah Ellison,31
Raeisha (Ra) Williams,Jeremiah Ellison,Blong Yang,94
Raeisha (Ra) Williams,Jeremiah Ellison,Cathy Spann,71
Raeisha (Ra) Williams,Jeremiah Ellison,Jeremiah Ellison,3
Raeisha (Ra) Williams,Jeremiah Ellison,Raeisha (Ra) Williams,3
Raeisha (Ra) Williams,Jeremiah Ellison,Uwi,4
Raeisha (Ra) Williams,Raeisha (Ra) Williams,Jeremiah Ellison,3
Raeisha (Ra) Williams,Raeisha (Ra) Williams,Raeisha (Ra) Williams,24
"Robert M Schlosser ""Bob""",Bob Fine,Bob Fine,1
"Robert M Schlosser ""Bob""",Bob Fine,Brad Bourn,43
"Robert M Schlosser ""Bob""",Bob Fine,Jennifer Zielinski,68
"Robert M Schlosser ""Bob""",Bob Fine,"Robert M Schlosser ""Bob""",2
"Robert M Schlosser ""Bob""",Bob Fine,Uwi,3
"Robert M Schlosser ""Bob""",Brad Bourn,Bob Fine,50
"Robert M Schlosser ""Bob""",Brad Bourn,Brad Bourn,1
"Robert M Schlosser ""Bob""",Brad Bourn,Jennifer Zielinski,41
"Robert M Schlosser ""Bob""",Brad Bourn,"Robert M Schlosser ""Bob""",2
"Robert M Schlosser ""Bob""",Brad Bourn,Uwi,1
"Robert M Schlosser ""Bob""",Jennifer Zielinski,Bob Fine,67
"Robert M Schlosser ""Bob""",Jennifer Zielinski,Brad Bourn,51
"Robert M Schlosser ""Bob""",Jennifer Zielinski,Uwi,2
"Robert M Schlosser ""Bob""","Robert M Schlosser ""Bob""","Robert M Schlosser ""Bob""",9
"Robert M Schlosser ""Bob""",Uwi,Uwi,2
Ronald W. Peterson,Alondra Cano,Gary Schiff,7
Ronald W. Peterson,Alondra Cano,Mohamed Farah,7
Ronald W. Peterson,Gary Schiff,Alondra Cano,12
Ronald W. Peterson,Gary Schiff,Mohamed Farah,14
Ronald W. Peterson,Gary Schiff,Ronald W. Peterson,1
Ronald W. Peterson,Gary Schiff,Uwi,1
Ronald W. Peterson,Mohamed Farah,Alondra Cano,7
Ronald W. Peterson,Mohamed Farah,Gary Schiff,12
Ronald W. Peterson,Mohamed Farah,Ronald W. Peterson,1
Ronald W. Peterson,Mohamed Farah,Uwi,1
Ronald W. Peterson,Ronald W. Peterson,Mohamed Farah,1
Ronald W. Peterson,Ronald W. Peterson,Ronald W. Peterson,12
Ronald W. Peterson,Uwi,Uwi,5
Samantha Pree-Stinson,Ginger Jentzen,Ginger Jentzen,1
Samantha Pree-Stinson,Ginger Jentzen,Samantha Pree-Stinson,4
Samantha Pree-Stinson,Ginger Jentzen,Steve Fletcher,153
Samantha Pree-Stinson,Ginger Jentzen,Tim Bildsoe,56
Samantha Pree-Stinson,Ginger Jentzen,Uwi,7
Samantha Pree-Stinson,Samantha Pree-Stinson,Samantha Pree-Stinson,12
Samantha Pree-Stinson,Samantha Pree-Stinson,Steve Fletcher,1
Samantha Pree-Stinson,Samantha Pree-Stinson,Tim Bildsoe,1
Samantha Pree-Stinson,Steve Fletcher,Ginger Jentzen,145
Samantha Pree-Stinson,Steve Fletcher,Samantha Pree-Stinson,1
Samantha Pree-Stinson,Steve Fletcher,Steve Fletcher,1
Samantha Pree-Stinson,Steve Fletcher,Tim Bildsoe,161
Samantha Pree-Stinson,Steve Fletcher,Uwi,2
Samantha Pree-Stinson,Tim Bildsoe,Ginger Jentzen,30
Samantha Pree-Stinson,Tim Bildsoe,Steve Fletcher,111
Samantha Pree-Stinson,Uwi,Uwi,2
Saralyn Romanishan,Bruce Lundeen,David Schorn,28
Saralyn Romanishan,Bruce Lundeen,Lisa Bender,9
Saralyn Romanishan,Bruce Lundeen,Saralyn Romanishan,1
Saralyn Romanishan,David Schorn,Bruce Lundeen,117
Saralyn Romanishan,David Schorn,Lisa Bender,258
Saralyn Romanishan,David Schorn,Saralyn Romanishan,1
Saralyn Romanishan,David Schorn,Uwi,30
Saralyn Romanishan,Lisa Bender,Bruce Lundeen,12
Saralyn Romanishan,Lisa Bender,David Schorn,490
Saralyn Romanishan,Lisa Bender,Lisa Bender,1
Saralyn Romanishan,Lisa Bender,Saralyn Romanishan,2
Saralyn Romanishan,Lisa Bender,Uwi,11
Saralyn Romanishan,Saralyn Romanishan,Lisa Bender,2
Saralyn Romanishan,Saralyn Romanishan,Saralyn Romanishan,9
Saralyn Romanishan,Uwi,David Schorn,3
Saralyn Romanishan,Uwi,Lisa Bender,2
Saralyn Romanishan,Uwi,Uwi,2
Steffanie Musich,Andrea Fahrenkrug,Andrea Fahrenkrug,4
Steffanie Musich,Andrea Fahrenkrug,Bill Shroyer,2064
Steffanie Musich,Andrea Fahrenkrug,Steffanie Musich,15
Steffanie Musich,Andrea Fahrenkrug,Uwi,15
Steffanie Musich,Bill Shroyer,Andrea Fahrenkrug,1260
Steffanie Musich,Bill Shroyer,Bill Shroyer,3
Steffanie Musich,Bill Shroyer,Steffanie Musich,7
Steffanie Musich,Bill Shroyer,Uwi,34
Steffanie Musich,Steffanie Musich,Andrea Fahrenkrug,6
Steffanie Musich,Steffanie Musich,Bill Shroyer,4
Steffanie Musich,Steffanie Musich,Steffanie Musich,60
Steffanie Musich,Uwi,Andrea Fahrenkrug,4
Steffanie Musich,Uwi,Bill Shroyer,2
Steffanie Musich,Uwi,Uwi,31
Stephanie Gasca,"Barbara A. ""Barb"" Johnson","Barbara A. ""Barb"" Johnson",1
Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Dana Hansen,25
Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,64
Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Stephanie Gasca,1
Stephanie Gasca,"Barbara A. ""Barb"" Johnson",Uwi,1
Stephanie Gasca,Dana Hansen,"Barbara A. ""Barb"" Johnson",14
Stephanie Gasca,Dana Hansen,Phillipe M. Cunningham,30
Stephanie Gasca,Dana Hansen,Stephanie Gasca,3
Stephanie Gasca,Phillipe M. Cunningham,"Barbara A. ""Barb"" Johnson",113
Stephanie Gasca,Phillipe M. Cunningham,Dana Hansen,98
Stephanie Gasca,Phillipe M. Cunningham,Phillipe M. Cunningham,1
Stephanie Gasca,Phillipe M. Cunningham,Stephanie Gasca,4
Stephanie Gasca,Phillipe M. Cunningham,Uwi,19
Stephanie Gasca,Stephanie Gasca,Dana Hansen,3
Stephanie Gasca,Stephanie Gasca,Phillipe M. Cunningham,5
Stephanie Gasca,Stephanie Gasca,Stephanie Gasca,23
Stephanie Gasca,Uwi,Dana Hansen,1
Steve Fletcher,Ginger Jentzen,Ginger Jentzen,1
Steve Fletcher,Ginger Jentzen,Samantha Pree-Stinson,204
Steve Fletcher,Ginger Jentzen,Steve Fletcher,4
Steve Fletcher,Ginger Jentzen,Tim Bildsoe,156
Steve Fletcher,Ginger Jentzen,Uwi,2
Steve Fletcher,Samantha Pree-Stinson,Ginger Jentzen,243
Steve Fletcher,Samantha Pree-Stinson,Samantha Pree-Stinson,2
Steve Fletcher,Samantha Pree-Stinson,Steve Fletcher,2
Steve Fletcher,Samantha Pree-Stinson,Tim Bildsoe,159
Steve Fletcher,Samantha Pree-Stinson,Uwi,10
Steve Fletcher,Steve Fletcher,Ginger Jentzen,1
Steve Fletcher,Steve Fletcher,Samantha Pree-Stinson,1
Steve Fletcher,Steve Fletcher,Steve Fletcher,23
Steve Fletcher,Steve Fletcher,Tim Bildsoe,4
Steve Fletcher,Tim Bildsoe,Ginger Jentzen,271
Steve Fletcher,Tim Bildsoe,Samantha Pree-Stinson,422
Steve Fletcher,Tim Bildsoe,Steve Fletcher,7
Steve Fletcher,Tim Bildsoe,Tim Bildsoe,6
Steve Fletcher,Tim Bildsoe,Uwi,29
Steve Fletcher,Uwi,Samantha Pree-Stinson,3
Steve Fletcher,Uwi,Tim Bildsoe,2
Steve Fletcher,Uwi,Uwi,1
Teqen Zéa-Aida,Janne Flisrand,Joe Kovacs,39
Teqen Zéa-Aida,Janne Flisrand,Lisa Goodman,243
Teqen Zéa-Aida,Janne Flisrand,Uwi,16
Teqen Zéa-Aida,Joe Kovacs,Janne Flisrand,14
Teqen Zéa-Aida,Joe Kovacs,Lisa Goodman,8
Teqen Zéa-Aida,Lisa Goodman,Janne Flisrand,238
Teqen Zéa-Aida,Lisa Goodman,Joe Kovacs,12
Teqen Zéa-Aida,Lisa Goodman,Uwi,5
Teqen Zéa-Aida,Teqen Zéa-Aida,Janne Flisrand,1
Teqen Zéa-Aida,Teqen Zéa-Aida,Lisa Goodman,1
Teqen Zéa-Aida,Teqen Zéa-Aida,Teqen Zéa-Aida,11
Teqen Zéa-Aida,Uwi,Janne Flisrand,1
Teqen Zéa-Aida,Uwi,Uwi,3
Terry White,Andrea Jenkins,Andrea Jenkins,1
Terry White,Andrea Jenkins,April Kane,267
Terry White,Andrea Jenkins,David Holsinger,42
Terry White,Andrea Jenkins,Uwi,6
Terry White,April Kane,Andrea Jenkins,96
Terry White,April Kane,David Holsinger,47
Terry White,April Kane,Terry White,7
Terry White,April Kane,Uwi,1
Terry White,David Holsinger,Andrea Jenkins,24
Terry White,David Holsinger,April Kane,60
Terry White,David Holsinger,David Holsinger,1
Terry White,David Holsinger,Terry White,1
Terry White,David Holsinger,Uwi,2
Terry White,Terry White,Andrea Jenkins,3
Terry White,Terry White,Terry White,7
Terry White,Uwi,Andrea Jenkins,1
Tiffini Forslund,Fadumo Yusuf,Mohamud Noor,1
Tiffini Forslund,Mohamud Noor,Uwi,1
Tim Bildsoe,Ginger Jentzen,Ginger Jentzen,1
Tim Bildsoe,Ginger Jentzen,Samantha Pree-Stinson,46
Tim Bildsoe,Ginger Jentzen,Steve Fletcher,89
Tim Bildsoe,Ginger Jentzen,Uwi,2
Tim Bildsoe,Samantha Pree-Stinson,Ginger Jentzen,32
Tim Bildsoe,Samantha Pree-Stinson,Samantha Pree-Stinson,1
Tim Bildsoe,Samantha Pree-Stinson,Steve Fletcher,131
Tim Bildsoe,Samantha Pree-Stinson,Tim Bildsoe,1
Tim Bildsoe,Samantha Pree-Stinson,Uwi,1
Tim Bildsoe,Steve Fletcher,Ginger Jentzen,201
Tim Bildsoe,Steve Fletcher,Samantha Pree-Stinson,574
Tim Bildsoe,Steve Fletcher,Steve Fletcher,4
Tim Bildsoe,Steve Fletcher,Tim Bildsoe,11
Tim Bildsoe,Steve Fletcher,Uwi,38
Tim Bildsoe,Tim Bildsoe,Ginger Jentzen,2
Tim Bildsoe,Tim Bildsoe,Samantha Pree-Stinson,2
Tim Bildsoe,Tim Bildsoe,Steve Fletcher,3
Tim Bildsoe,Tim Bildsoe,Tim Bildsoe,25
Tim Bildsoe,Uwi,Steve Fletcher,1
Tim Bildsoe,Uwi,Uwi,5
Tom Nordyke,Jono Cowgill,Jono Cowgill,20
Tom Nordyke,Jono Cowgill,Tom Nordyke,58
Tom Nordyke,Jono Cowgill,Uwi,161
Tom Nordyke,Tom Nordyke,Jono Cowgill,13
Tom Nordyke,Tom Nordyke,Tom Nordyke,90
Tom Nordyke,Uwi,Jono Cowgill,7
Tom Nordyke,Uwi,Uwi,30
Uwi,Abdi Warsame,Mohamud Noor,1
Uwi,Ak Hassan,Charles Exner,2
Uwi,Alondra Cano,Gary Schiff,3
Uwi,Alondra Cano,Mohamed Farah,2
Uwi,Andrea Fahrenkrug,Bill Shroyer,2
Uwi,Andrea Jenkins,Uwi,1
Uwi,Andrew Johnson,Uwi,1
Uwi,"Barbara A. ""Barb"" Johnson",Phillipe M. Cunningham,1
Uwi,Bill Shroyer,Andrea Fahrenkrug,1
Uwi,Bill Shroyer,Steffanie Musich,2
Uwi,Billy Menz,Chris Meyer,2
Uwi,Billy Menz,Mohamed Issa Barre,1
Uwi,Bob Fine,Brad Bourn,1
Uwi,Bob Fine,Jennifer Zielinski,1
Uwi,Bob Fine,"Robert M Schlosser ""Bob""",2
Uwi,Bob Reuer,Linea Palmisano,4
Uwi,Bob Reuer,Uwi,2
Uwi,Brad Bourn,Bob Fine,2
Uwi,Brad Bourn,Uwi,1
Uwi,Cam Gordon,Cam Gordon,3
Uwi,Cam Gordon,Uwi,4
Uwi,Charles Exner,Uwi,2
Uwi,Chris Meyer,Billy Menz,3
Uwi,David Schorn,Lisa Bender,2
Uwi,Harrison Bullard,Will Jaeger,5
Uwi,Janne Flisrand,Lisa Goodman,1
Uwi,Janne Flisrand,Uwi,1
Uwi,Jeremiah Ellison,Raeisha (Ra) Williams,1
Uwi,Jeremy Schroeder,John Quincy,2
Uwi,Jillia Pessenda,Kevin Reich,2
Uwi,Joe Kovacs,Lisa Goodman,1
Uwi,John Hayden,Kevin Reich,2
Uwi,John Quincy,Jeremy Schroeder,1
Uwi,John Quincy,Uwi,2
Uwi,Jono Cowgill,Tom Nordyke,11
Uwi,Kale Severson,Mike Talley Tate,5
Uwi,Kevin Reich,Jillia Pessenda,2
Uwi,Kevin Reich,John Hayden,1
Uwi,Linea Palmisano,Bob Reuer,4
Uwi,Linea Palmisano,Uwi,2
Uwi,Lisa Bender,Saralyn Romanishan,2
Uwi,Lisa Goodman,Janne Flisrand,2
Uwi,Lisa Goodman,Teqen Zéa-Aida,1
Uwi,Mike Talley Tate,Kale Severson,5
Uwi,Mohamed Issa Barre,Billy Menz,1
Uwi,Mohamed Issa Barre,Mohamed Issa Barre,1
Uwi,Mohamud Noor,Abdi Warsame,2
Uwi,Mohamud Noor,Fadumo Yusuf,1
Uwi,Mohamud Noor,Mohamud Noor,1
Uwi,Phillipe M. Cunningham,Stephanie Gasca,1
Uwi,Phillipe M. Cunningham,Uwi,1
Uwi,"Robert M Schlosser ""Bob""",Jennifer Zielinski,2
Uwi,Saralyn Romanishan,Lisa Bender,2
Uwi,Steffanie Musich,Andrea Fahrenkrug,2
Uwi,Steffanie Musich,Bill Shroyer,2
Uwi,Steffanie Musich,Uwi,1
Uwi,Steve Fletcher,Tim Bildsoe,1
Uwi,Terry White,Andrea Jenkins,1
Uwi,Tim Bildsoe,Steve Fletcher,3
Uwi,Tom Nordyke,Jono Cowgill,2
Uwi,Tom Nordyke,Uwi,1
Uwi,Uwi,Alondra Cano,3
Uwi,Uwi,Bob Reuer,1
Uwi,Uwi,Cam Gordon,2
Uwi,Uwi,Linea Palmisano,1
Uwi,Uwi,Mike Talley Tate,2
Uwi,Uwi,Mohamed Farah,1
Uwi,Uwi,Mohamud Noor,1
Uwi,Uwi,Steffanie Musich,1
Uwi,Uwi,Tim Bildsoe,1
Uwi,Uwi,Uwi,264
Uwi,Will Jaeger,Andrew Johnson,1
Will Jaeger,Andrew Johnson,Andrew Johnson,3
Will Jaeger,Andrew Johnson,Harrison Bullard,182
Will Jaeger,Andrew Johnson,Uwi,2
Will Jaeger,Harrison Bullard,Andrew Johnson,197
Will Jaeger,Harrison Bullard,Harrison Bullard,2
Will Jaeger,Harrison Bullard,Uwi,18
Will Jaeger,Harrison Bullard,Will Jaeger,3
Will Jaeger,Uwi,Uwi,6
Will Jaeger,Will Jaeger,Andrew Johnson,2
Will Jaeger,Will Jaeger,Harrison Bullard,1
Will Jaeger,Will Jaeger,Will Jaeger,15
